"Timestamp","What is your gender?","What is your age group?","What is your Country of Residence?","Are you subscribed to a music streaming platform?","Why do you not use music streaming? (multiple answers possible)","Which channels do you use instead? (you can finish this survey after this question)","Which platform do you use mainly?","Why do you use this platform?","Which subscription model do you use?","How often do you use music streaming?","On which devices do you use music streaming services?","When do you use music streaming services?","How satisfied are you with your current music streaming platform?","I am satisfied, because...","I am not satisfied, because...","Which of the following interfaces do you find most appealing?","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [High-quality audio ]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Cross-Platform Syncing ]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Shared Playlists ]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Live Lyrics Integration]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Smart Speaker Integration]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Concert & Event Integration]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Podcast]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Offline Mode]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Live Streaming Events]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Sleep Timer]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Genre-Based Radio Stations ]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Music Videos]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Personalized Recommendations]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Vast Music Library]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Exact Search and Discovery]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Enhanced Artist Pages (e.g., biography)]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [User Reviews and Ratings]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Launch A Mix Inspired By A Song You Love]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Change Your Country Recommendations ]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Flow (moods, genres) ]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Song catcher (tracks and/or humming)]","What do you consider must-have, nice-to-have features on a music streaming platform and what do you personally not need? [Music Quizz ]"
"2023/11/17 1:04:04 pm CET","Female","16-24","Ireland","Yes","","","Apple Music","Price;Selection of music and artists;Easy usage;Subscription plan","Premium (Family)","Multiple times a day","Smart Watch;Phone","During car rides;During rides with public transport;Free time;During studying;During workouts;During work;Party","4","All Artists, good price ","No smooth way to the next song ","Apple Music","Must-have","Must-have","Nice-to-have","Must-have","Must-have","Nice-to-have","Nice-to-have","Must-have","Don´t need it","Don´t need it","Don´t need it","Nice-to-have","Must-have","Must-have","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Must-have","Don´t need it"
"2023/11/17 1:56:19 pm CET","Female","16-24","Germany","Yes","","","Spotify","Selection of music and artists;Popularity of platform","Premium (Student)","Multiple times a day","Phone","During car rides;During rides with public transport;During workouts","4","","","Spotify","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Don´t need it","Nice-to-have","Must-have","Don´t need it","Don´t need it","Nice-to-have","Don´t need it","Must-have","Must-have","Must-have","Don´t need it","Nice-to-have","Don´t need it","Don´t need it","Must-have","Nice-to-have","Nice-to-have"
"2023/11/17 1:57:10 pm CET","Female","16-24","Ireland","Yes","","","Spotify","Feature variety;Easy usage;Popularity of platform;Subscription plan","Premium (Family)","Multiple times a day","Phone","During car rides;During rides with public transport;Free time;During studying;During workouts;Party","5","all the music, + free podcasts and audiobooks ","-","Spotify","Must-have","Nice-to-have","Nice-to-have","Must-have","Nice-to-have","Nice-to-have","Must-have","Must-have","Don´t need it","Nice-to-have","Must-have","Don´t need it","Must-have","Must-have","Must-have","Don´t need it","Don´t need it","Must-have","Must-have","Must-have","Nice-to-have","Don´t need it"
"2023/11/17 2:05:28 pm CET","Male","16-24","Ireland","Yes","","","Spotify","Price;Selection of music and artists;Popularity of platform","Premium (Individual)","Multiple times a day","Phone;Laptop;iPad or Tablet","During car rides;During rides with public transport;Free time;During studying;During workouts;During work;Party","5","Great price, good exclusives, every song is available ","","Spotify","Must-have","Nice-to-have","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Must-have","Must-have","Nice-to-have","Don´t need it","Nice-to-have","Don´t need it","Nice-to-have","Must-have","Must-have","Nice-to-have","Don´t need it","Don´t need it","Nice-to-have","Nice-to-have","Must-have","Don´t need it"
"2023/11/17 2:09:12 pm CET","Male","45-54","Heuss","Yes","","","Deezer","Subscription plan","Premium (Family)","Once a week","iPad or Tablet","Party","5","","","Deezer","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Nice-to-have","Nice-to-have"
"2023/11/17 2:35:01 pm CET","Female","16-24","Ireland ","Yes","","","Spotify","Price;Feature variety;Easy usage;Popularity of platform","Premium (Family)","Multiple times a day","Phone;iPad or Tablet","During car rides;During rides with public transport;Free time;During workouts;During work;Party","5","","","Spotify","Must-have","Must-have","Must-have","Nice-to-have","Must-have","Don´t need it","Must-have","Must-have","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Must-have","Must-have","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Must-have","Nice-to-have","Nice-to-have","Nice-to-have"
"2023/11/17 6:38:28 pm CET","Male","55-64","Germany","Yes","","","Apple Music","Selection of music and artists;Easy usage","Free","Once a week","Phone","During car rides;Free time","4","I am able to listen my most  favorite music","","Apple Music","Nice-to-have","Must-have","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Must-have","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have"
"2023/11/18 10:57:24 am CET","Female","55-64","Germany","Yes","","","Apple Music","Feature variety;Selection of music and artists;Easy usage;Device compatibility","Premium (Family)","Once a day","Phone;Apple car play","During car rides;In bed","5","I could find all music i wann and i Love the albums","","Apple Music","Must-have","Must-have","Nice-to-have","Don´t need it","Nice-to-have","Nice-to-have","Must-have","Don´t need it","Nice-to-have","Don´t need it","Nice-to-have","Must-have","Nice-to-have","Don´t need it","Nice-to-have","Must-have","Don´t need it","Don´t need it","Don´t need it","Nice-to-have","Nice-to-have","Don´t need it"
"2023/11/21 11:27:24 am CET","Male","16-24","Netherlands","No","Too prices","Digital Downloads;Youtube;Free version of subscription services","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023/11/21 11:29:23 am CET","Female","16-24","ireland","Yes","","","Spotify","Easy usage;Popularity of platform;Subscription plan","Premium (Family)","Multiple times a day","Phone;Laptop;TV;iPad or Tablet","During car rides;During rides with public transport;Free time;During studying;During workouts;During work;Party","4","","","Spotify","Must-have","Nice-to-have","Must-have","Must-have","Must-have","Nice-to-have","Must-have","Must-have","Nice-to-have","Must-have","Must-have","Must-have","Must-have","Must-have","Must-have","Nice-to-have","Nice-to-have","Must-have","Don´t need it","Must-have","Must-have","Nice-to-have"
"2023/11/21 11:29:38 am CET","Male","16-24","France ","Yes","","","Spotify","Popularity of platform","Premium (Family)","A few times a month","Phone","During studying;During workouts","5","Does what I need it to do, since I rarely use it it doesn't bother me to much.","","Spotify","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Must-have","Nice-to-have","Nice-to-have","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have"
"2023/11/21 11:30:07 am CET","Male","16-24","Ireland","Yes","","","Spotify","Popularity of platform;Subscription plan","Premium (Family)","Multiple times a day","Phone;Laptop;iPad or Tablet","During car rides;During rides with public transport;Free time;During studying;During workouts;During work","4","it entertains me and has most artists, podcasts and music I want","it is sometimes buggy","Spotify","Must-have","Nice-to-have","Must-have","Must-have","Nice-to-have","Don´t need it","Must-have","Must-have","Don´t need it","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Must-have","Nice-to-have","Must-have","Nice-to-have","Nice-to-have","Don´t need it","Nice-to-have","Nice-to-have","Don´t need it"
"2023/11/21 11:30:12 am CET","Female","16-24","Germany","Yes","","","Apple Music","Device compatibility","Premium (Student)","Multiple times a day","Phone;Laptop","During rides with public transport;Free time;During workouts;For walks","4","I love the selection of music ","I would like better tailored suggestions and I wish there were more stats available as with Spotify and the ability to compare/share playlists with friends ","Apple Music","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Don´t need it","Don´t need it","Must-have","Don´t need it","Nice-to-have","Don´t need it","Don´t need it","Must-have","Must-have","Must-have","Nice-to-have","Don´t need it","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have"
"2023/11/21 11:31:15 am CET","Male","16-24","Canada","Yes","","","Spotify","Easy usage;Popularity of platform;Device compatibility;Back home a subscription came with phone plan ","Premium (Family)","Multiple times a day","Phone;Laptop;TV","During car rides;During rides with public transport;Free time;During studying;During workouts;During work","5","Tbh I haven’t tried any of the others. Everything I want is on Spotify. I have all my playlists etc. I don’t want to change. ","N/A","Apple Music","Must-have","Must-have","Nice-to-have","Nice-to-have","Don´t need it","Don´t need it","Must-have","Must-have","Don´t need it","Don´t need it","Nice-to-have","Nice-to-have","Don´t need it","Must-have","Must-have","Nice-to-have","Don´t need it","Nice-to-have","Don´t need it","Nice-to-have","Nice-to-have","Nice-to-have"
"2023/11/21 11:31:40 am CET","Male","16-24","Ireland","Yes","","","Deezer","Easy usage;Subscription plan","Premium (Family)","Multiple times a day","Phone;Laptop","During car rides;Free time;During workouts;Party","5","","","Deezer","Nice-to-have","Must-have","Nice-to-have","Don´t need it","Don´t need it","Don´t need it","Nice-to-have","Must-have","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Must-have","Must-have","Must-have","Nice-to-have","Nice-to-have","Must-have","Don´t need it","Must-have","Nice-to-have","Nice-to-have"
"2023/11/21 11:31:49 am CET","Female","16-24","Germany","No","Too prices","Digital Downloads;Youtube;Spotify free","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023/11/21 11:33:38 am CET","Female","16-24","Ireland","Yes","","","Spotify","Feature variety;Easy usage;Popularity of platform;Device compatibility","Premium (Student)","Multiple times a day","Phone","During rides with public transport;Free time;During studying;Party","5","Affordable student pricing, availability of songs and podcasts released exclusively to Spotify.","Notifications aren’t accurate and are hit or miss when wanting to be notified about new podcast releases.","Spotify","Must-have","Must-have","Must-have","Don´t need it","Nice-to-have","Nice-to-have","Must-have","Nice-to-have","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Must-have","Must-have","Must-have","Don´t need it","Don´t need it","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Don´t need it"
"2023/11/21 11:34:33 am CET","Female","16-24","Germany","Yes","","","Spotify","Price","Free","Once a day","Phone","During car rides;During rides with public transport;During studying","5","I don’t have to pay","","Spotify","Nice-to-have","Nice-to-have","Nice-to-have","Don´t need it","Don´t need it","Nice-to-have","Don´t need it","Must-have","Don´t need it","Don´t need it","Nice-to-have","Don´t need it","Nice-to-have","Must-have","Must-have","Don´t need it","Don´t need it","Don´t need it","Nice-to-have","Must-have","Don´t need it","Don´t need it"
"2023/11/21 11:34:39 am CET","Female","16-24","Brazil","Yes","","","Spotify","Selection of music and artists;Easy usage;Subscription plan","Premium (Family)","Multiple times a day","Phone;Laptop","During car rides;During rides with public transport;Free time;During studying;Party","5","They offer everything I like to listen to and because it's affordable","","Google Music","Nice-to-have","Nice-to-have","Must-have","Must-have","Nice-to-have","Don´t need it","Nice-to-have","Must-have","Don´t need it","Don´t need it","Nice-to-have","Don´t need it","Nice-to-have","Must-have","Must-have","Don´t need it","Don´t need it","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Don´t need it"
"2023/11/21 11:35:48 am CET","Male","16-24","Germany","Yes","","","Spotify","Because someone else is paying for it","Premium (Family)","Multiple times a day","Phone;Laptop;iPad or Tablet","During car rides;During rides with public transport;Free time;During studying;During workouts;During work;Party","4","i can listen to almost unlimited music ","it is hard to find new music that is actually to my taste on the platform itself","Apple Music","Must-have","Must-have","Must-have","Nice-to-have","Must-have","Nice-to-have","Don´t need it","Must-have","Don´t need it","Must-have","Nice-to-have","Don´t need it","Must-have","Must-have","Must-have","Nice-to-have","Don´t need it","Nice-to-have","Nice-to-have","Nice-to-have","Must-have","Nice-to-have"
"2023/11/21 11:35:55 am CET","Male","16-24","United Kingdom","No","Too prices;I am not very interested in music","I don´t listen to music","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023/11/21 11:36:20 am CET","Male","16-24","Germany","Yes","","","Apple Music","Feature variety;Easy usage;Device compatibility","Premium (Student)","Several times a week","Smart Watch;Phone;iPad or Tablet","During car rides;During workouts;Party","4","cheap, ease to use, nice interface, high quality audio","lots of good playlists are found on other platforms and can‘t be transferred, from time to time, songs are taken offline/disappear","Apple Music","Nice-to-have","Must-have","Must-have","Nice-to-have","Don´t need it","Nice-to-have","Nice-to-have","Must-have","Don´t need it","Must-have","Must-have","Don´t need it","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Don´t need it","Must-have","Don´t need it","Nice-to-have","Don´t need it","Don´t need it"
"2023/11/21 11:36:26 am CET","Female","16-24","UK","Yes","","","Spotify","Price;Selection of music and artists;Easy usage;Device compatibility;Subscription plan","Premium (Family)","Multiple times a day","Phone;Laptop","During car rides;During rides with public transport;Free time;During studying;During workouts;During work","5","Offer, API; pricing, easy compatibility","NA","Spotify","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Don´t need it","Must-have","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Don´t need it","Don´t need it","Must-have","Must-have","Don´t need it","Don´t need it","Nice-to-have","Don´t need it","Don´t need it","Nice-to-have","Don´t need it"
"2023/11/21 11:37:16 am CET","Male","16-24","Ireland","Yes","","","Spotify","Feature variety;Selection of music and artists;Easy usage;Popularity of platform","Premium (Family)","Multiple times a day","Phone;Laptop","During car rides;During rides with public transport;Free time;During studying;During workouts;During work;Party","4","","Lack of unlicensed music ","Spotify","Must-have","Nice-to-have","Nice-to-have","Don´t need it","Nice-to-have","Nice-to-have","Must-have","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Don´t need it","Must-have","Must-have","Must-have","Nice-to-have","Don´t need it","Must-have","Nice-to-have","Must-have","Nice-to-have","Nice-to-have"
"2023/11/21 11:37:36 am CET","Female","16-24","France ","Yes","","","Deezer","Feature variety;Selection of music and artists","Premium (Family)","Multiple times a day","Phone;Laptop;iPad or Tablet","During car rides;During rides with public transport;During studying;During workouts;During work;Party","5","","","Deezer","Must-have","Must-have","Must-have","Nice-to-have","Nice-to-have","Must-have","Must-have","Must-have","Don´t need it","Must-have","Nice-to-have","Nice-to-have","Must-have","Must-have","Must-have","Must-have","Must-have","Must-have","Must-have","Must-have","Must-have","Nice-to-have"
"2023/11/21 11:38:00 am CET","Male","16-24","Germany","Yes","","","Spotify","Feature variety;Selection of music and artists;Easy usage;Popularity of platform","Premium (Family)","Several times a week","Phone;Computer","During car rides;During rides with public transport;During workouts","5","","","Spotify","Must-have","Don´t need it","Nice-to-have","Nice-to-have","Nice-to-have","Don´t need it","Must-have","Must-have","Don´t need it","Nice-to-have","Nice-to-have","Don´t need it","Must-have","Nice-to-have","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Don´t need it","Must-have","Don´t need it","Don´t need it"
"2023/11/21 11:38:02 am CET","Female","16-24","Germany ","Yes","","","Apple Music","Price;Selection of music and artists;Easy usage;Popularity of platform;Device compatibility","Premium (Family)","Multiple times a day","Phone;iPad or Tablet","During car rides;During rides with public transport;Free time;During studying;During workouts;Party","5","","","Apple Music","Must-have","Nice-to-have","Must-have","Must-have","Nice-to-have","Nice-to-have","Must-have","Must-have","Nice-to-have","Nice-to-have","Must-have","Nice-to-have","Must-have","Must-have","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Don´t need it","Don´t need it"
"2023/11/21 11:38:07 am CET","Female","16-24","Germany","Yes","","","Spotify","Feature variety;Selection of music and artists;Easy usage;Popularity of platform;Device compatibility;Subscription plan","Premium (Family)","Multiple times a day","Phone;iPad or Tablet","During rides with public transport;Free time;During studying;During workouts;Party","4","easy to use, broad variety of artists, podcasts","","Spotify","Must-have","Must-have","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Must-have","Must-have","Don´t need it","Don´t need it","Don´t need it","Don´t need it","Must-have","Must-have","Must-have","Don´t need it","Don´t need it","Don´t need it","Nice-to-have","Don´t need it","Don´t need it","Don´t need it"
"2023/11/21 11:38:07 am CET","Male","16-24","Ireland ","Yes","","","Spotify","Feature variety;Selection of music and artists;Easy usage;Popularity of platform;Device compatibility","Premium (Family)","Multiple times a day","Phone;Laptop;iPad or Tablet","During car rides;During rides with public transport;Free time;During studying","5","","","Spotify","Must-have","Must-have","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Must-have","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Must-have","Must-have","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have"
"2023/11/21 11:38:15 am CET","Female","16-24","Germany","Yes","","","Spotify","Feature variety;Selection of music and artists;Easy usage;Popularity of platform","Premium (Student)","Multiple times a day","Phone;iPad or Tablet","During car rides;During rides with public transport;During studying;During workouts;Walking","5","","","Spotify","Nice-to-have","Nice-to-have","Must-have","Must-have","Don´t need it","Don´t need it","Must-have","Must-have","Don´t need it","Nice-to-have","Nice-to-have","Don´t need it","Must-have","Must-have","Must-have","Must-have","Nice-to-have","Must-have","Must-have","Must-have","Must-have","Nice-to-have"
"2023/11/21 11:39:09 am CET","Female","16-24","Ireland ","Yes","","","Spotify","Feature variety;Selection of music and artists;Easy usage;Device compatibility","Premium (Family)","Multiple times a day","Phone","During rides with public transport;Free time","4","","","Spotify","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Must-have","Must-have","Nice-to-have","Nice-to-have","Must-have","Don´t need it","Must-have","Nice-to-have","Nice-to-have","Don´t need it","Don´t need it","Nice-to-have","Don´t need it","Nice-to-have","Don´t need it","Don´t need it"
"2023/11/21 11:39:22 am CET","Male","16-24","france","Yes","","","Spotify","Price;Feature variety;Selection of music and artists;Easy usage;Popularity of platform;Subscription plan","Premium (Family)","Multiple times a day","Phone;Laptop","During car rides;During rides with public transport;During workouts;Party","4","","","Spotify","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Don´t need it","Must-have","Must-have","Don´t need it","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Don´t need it","Don´t need it"
"2023/11/21 11:40:09 am CET","Male","16-24","Germany","Yes","","","Spotify","Easy usage","Premium (Student)","Multiple times a day","Phone;Laptop;iPad or Tablet","During car rides;During rides with public transport;Free time;During studying;During workouts;During work;Party","5","","","Apple Music","Must-have","Must-have","Must-have","Must-have","Must-have","Don´t need it","Must-have","Must-have","Don´t need it","Must-have","Don´t need it","Don´t need it","Must-have","Must-have","Must-have","Don´t need it","Don´t need it","Must-have","Nice-to-have","Don´t need it","Nice-to-have","Don´t need it"
"2023/11/21 11:40:30 am CET","Male","25-34","Germany","Yes","","","Apple Music","Easy usage","Premium (Family)","Several times a week","Phone","During rides with public transport","3","All good","Price per Usage is to high ","Apple Music","Must-have","Nice-to-have","Must-have","Nice-to-have","Must-have","Nice-to-have","Nice-to-have","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Must-have","Must-have","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Must-have","Nice-to-have","Nice-to-have","Don´t need it"
"2023/11/21 11:41:08 am CET","Female","25-34","Germany","Yes","","","Spotify","Price;Selection of music and artists;Easy usage;Popularity of platform;Device compatibility","Premium (Family)","Multiple times a day","Phone;Laptop","During rides with public transport;Free time;During studying;During work","4","of the selection of music, device compatibility, podcasts and audio books available, ","many suggested playlists are not relevant and I cannot stop the recommendations showing up, individual songs in blend cannot be deleted","Spotify","Must-have","Don´t need it","Nice-to-have","Must-have","Nice-to-have","Nice-to-have","Must-have","Must-have","Don´t need it","Nice-to-have","Don´t need it","Don´t need it","Nice-to-have","Must-have","Must-have","Nice-to-have","Don´t need it","Must-have","Must-have","Must-have","Must-have","Don´t need it"
"2023/11/21 11:41:26 am CET","Female","16-24","Ireland","Yes","","","Spotify","Price;Feature variety;Selection of music and artists;Easy usage;Popularity of platform;Device compatibility","Premium (Family)","Multiple times a day","Phone","Free time;During studying;During workouts;Party","5","","","Spotify","Must-have","Nice-to-have","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Must-have","Must-have","Don´t need it","Don´t need it","Nice-to-have","Don´t need it","Nice-to-have","Must-have","Must-have","Nice-to-have","Nice-to-have","Nice-to-have","Nice-to-have","Must-have","Must-have","Don´t need it"
"2023/11/21 11:42:32 am CET","Male","16-24","Italy","Yes","","","Spotify","Price;Easy usage;Subscription plan","Premium (Student)","Multiple times a day","Phone;Laptop;iPad or Tablet","During car rides;During rides with public transport;Free time;During studying;During workouts;Party","5","","","Apple Music","Nice-to-have","Don´t need it","Must-have","Must-have","Nice-to-have","Nice-to-have","Must-have","Must-have","Must-have","Nice-to-have","Must-have","Nice-to-have","Must-have","Must-have","Must-have","Nice-to-have","Nice-to-have","Must-have","Nice-to-have","Must-have","Nice-to-have","Nice-to-have"
"2023/11/21 11:42:34 am CET","Female","16-24","Austria ","Yes","","","Spotify","Feature variety;Selection of music and artists;Easy usage;Popularity of platform","Premium (Family)","Multiple times a day","Phone;Laptop","During car rides;During rides with public transport;Free time;During workouts;Party","5","","","Spotify","Must-have","Nice-to-have","Nice-to-have","Must-have","Must-have","Nice-to-have","Must-have","Must-have","Don´t need it","Don´t need it","Nice-to-have","Don´t need it","Must-have","Must-have","Must-have","Don´t need it","Nice-to-have","Must-have","Nice-to-have","Must-have","Nice-to-have","Nice-to-have"
